[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,170 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AuditModel' was instrumented for code coverage (methods: total=23, instrumented=22), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,255 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/ApplicationRuntimeException' was instrumented for code coverage (methods: total=6, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.315Z] [SEALIGHTS] 2023-04-26 16:50:23,267 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/ApplicationRestClientException' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,301 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/AVehicle' was instrumented for code coverage (methods: total=40, instrumented=39), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,306 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Strategy' was instrumented for code coverage (methods: total=61, instrumented=59), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,315 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/helper/CoreGridHelperTest$1' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,318 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coregrid/model/data/CoreGrid' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,323 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/VehicleHolding' was instrumented for code coverage (methods: total=44, instrumented=42), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,324 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Correlatable' methods weren't instrumented for code coverage (total methods:2)
[2023-04-26T16:50:23.581Z] [SEALIGHTS] 2023-04-26 16:50:23,333 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coremodel/model/data/CoreModel' was instrumented for code coverage (methods: total=30, instrumented=29), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.354Z] [SEALIGHTS] 2023-04-26 16:50:27,039 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/ignite/IgniteConfigProperties' was instrumented for code coverage (methods: total=8, instrumented=7), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,467 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/test/wiremock/WiremockCustomizer' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,470 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/common/aws/AwsSecretsManagerRetriever' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,471 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/cache/CacheManagement' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,473 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/database/MyBatisOracleDpiConfig' was instrumented for code coverage (methods: total=8, instrumented=7), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,474 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/ignite/IgniteSystemPropertiesConfiguration' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,475 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/resource/StaticResourceConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,476 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/AssetClassMappingRestTemplateConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,481 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/AbstractRestTemplateConfiguration' was instrumented for code coverage (methods: total=62, instrumented=61), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,482 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/CoreGridRestTemplateConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,483 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/MetricsRestTemplateConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,484 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/VehicleServiceRestTemplateConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,485 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/WeaveRestTemplateConfiguration' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,486 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/security/NoAuthSecurityConfigurerAdapter' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,487 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/controller/AdminV1Controller' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,488 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/controller/BenchmarkV1Controller' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,489 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/common/ExceptionHelper' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,490 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/common/GraphqlExceptionHandler' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,492 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/common/RestExceptionHandler' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,495 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/query/AnalyticsQuery' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,496 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/query/Query' was instrumented for code coverage (methods: total=2, instrumented=1), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,498 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/query/BenchmarkQuery' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,499 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/query/UserQuery' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,500 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/scalar/GraphQLLocalDate' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,504 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/assetclassMapping/service/AssetClassMappingService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,506 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/betamodel/service/BetaModelService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.624Z] [SEALIGHTS] 2023-04-26 16:50:27,508 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coregrid/service/CoreGridService' was instrumented for code coverage (methods: total=9, instrumented=8), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,510 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/coremodel/service/CoreModelService' was instrumented for code coverage (methods: total=9, instrumented=8), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,512 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/entitlements/service/WeaveEntitlementService' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,514 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/integration/metrics/service/MetricsService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,515 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/ClassificationTreeTypeHandler' was instrumented for code coverage (methods: total=10, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,519 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mybatis/MyBatisInterceptor' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,521 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/AnalyticsService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,524 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/BenchmarkService' was instrumented for code coverage (methods: total=36, instrumented=35), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,526 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/ExternalAssetClassService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,528 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/ExternalVehicleService' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,529 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/InstrumentMeasureDataService' was instrumented for code coverage (methods: total=9, instrumented=8), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,531 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/RiskMetricsAssistService' was instrumented for code coverage (methods: total=10, instrumented=9), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,532 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/TraceService' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,533 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/UserService' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,535 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/VehicleService' was instrumented for code coverage (methods: total=16, instrumented=15), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,537 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/helper/BenchmarkMetricsServiceHelper' was instrumented for code coverage (methods: total=8, instrumented=7), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:27.625Z] [SEALIGHTS] 2023-04-26 16:50:27,539 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/service/helper/PortfolioMetricsServiceHelper' was instrumented for code coverage (methods: total=6, instrumented=5), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:28.589Z] [SEALIGHTS] 2023-04-26 16:50:28,269 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/ignite/JcachePerformanceLoggingAspect' was instrumented for code coverage (methods: total=4, instrumented=3), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:28.589Z] [SEALIGHTS] 2023-04-26 16:50:28,276 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/AbstractRestTemplateConfiguration$X509KeystoreProperties' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:28.589Z] [SEALIGHTS] 2023-04-26 16:50:28,277 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/config/rest/common/AbstractRestTemplateConfiguration$X509AwsSecretsManagerProperties' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,878 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/common/aws/AwsClientException' was instrumented for code coverage (methods: total=3, instrumented=2), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,899 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mapper/dpi/IInstrumentMapper' methods weren't instrumented for code coverage (total methods:5)
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,904 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/Benchmark' was instrumented for code coverage (methods: total=27, instrumented=25), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,905 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mapper/dpi/ICustomBenchmarkMapper' methods weren't instrumented for code coverage (total methods:1)
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,906 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mapper/IMapper' methods weren't instrumented for code coverage (total methods:5)
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,907 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/ApplicationException' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:30.004Z] [SEALIGHTS] 2023-04-26 16:50:29,908 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mapper/dpi/IInstrumentMeasureDataMapper' methods weren't instrumented for code coverage (total methods:3)
[2023-04-26T16:50:30.273Z] [SEALIGHTS] 2023-04-26 16:50:30,137 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/mapper/dpi/IHypoVehicleMapper' methods weren't instrumented for code coverage (total methods:1)
[2023-04-26T16:50:33.087Z] [SEALIGHTS] 2023-04-26 16:50:32,669 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/common/CustomGraphqlError' was instrumented for code coverage (methods: total=7, instrumented=6), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:33.087Z] [SEALIGHTS] 2023-04-26 16:50:32,671 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/exception/common/CustomError' was instrumented for code coverage (methods: total=12, instrumented=11), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:33.413Z] [SEALIGHTS] 2023-04-26 16:50:33,321 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/graphql/scalar/GraphQLLocalDate$1' was instrumented for code coverage (methods: total=8, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
[2023-04-26T16:50:33.684Z] [SEALIGHTS] 2023-04-26 16:50:33,386 INFO  [1531|main        |001] i.s.o.a.t.c.CustomerClassTransformer : Class 'com/jpmorgan/awm/dpi/model/data/BenchmarkType' was instrumented for code coverage (methods: total=5, instrumented=4), class loader: 'jdk.internal.loader.ClassLoaders$AppClassLoader@512ddf17'
